,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
ICV160,-0.009113666,-0.003464004,0.00670085,0.051635906,0.0063638873,0.05504777,-0.04687146,-0.025166549,-0.009116983,-0.03108459,-0.09354794,-0.041499577,0.09273199,-0.08411631,-0.029210053,0.00030216202,0.05725288,-0.07830987,0.070054986,0.045843437,0.013519144,-0.05199725,-0.004476862,-0.001744885,0.08217705,-0.006976653,-0.07297016,-0.0049129054,0.035588942,0.015522448,-0.04761861,-0.04328205
ICV278,-0.008529886,-0.0019888058,0.009553002,0.05414497,-0.001781024,0.053401172,-0.05022902,-0.021693742,0.0056940317,-0.026549382,-0.09238918,-0.04211917,0.09653659,-0.08604669,-0.022840079,-0.0073719844,0.050706048,-0.08409711,0.07272481,0.04256252,0.017209852,-0.060280487,-0.011227576,0.000673146,0.09037571,-0.008910611,-0.07547871,0.0061532483,0.03651479,0.011322066,-0.046500474,-0.04047632
ICV754,-0.010288012,0.003315162,0.0065352125,0.055814743,0.013423268,0.06854733,-0.044196796,-0.028516699,-0.009578911,-0.030681258,-0.08958396,-0.04613194,0.09180199,-0.08381232,-0.02880213,0.010860279,0.06639807,-0.07353187,0.07153899,0.0476136,0.0086766295,-0.041040063,-0.0038763322,0.0027870685,0.08889921,-0.007308621,-0.06669948,-0.0051347427,0.035491213,0.01901579,-0.0446292,-0.045183547
ICV711,-0.0035140496,-0.002928432,0.008196007,0.056330413,0.0037385747,0.06234476,-0.051047806,-0.025397211,-0.0042551514,-0.027873002,-0.09075784,-0.048854247,0.09705784,-0.08137566,-0.022300111,-0.0075548813,0.058225635,-0.07763341,0.07490256,0.042719446,0.017783443,-0.050813787,-0.001863461,-0.0024826927,0.08957145,-0.0010280944,-0.0706182,0.0005497448,0.033542007,0.015057454,-0.046398915,-0.040529788
ICV389,-0.0035889354,0.0031008944,0.008648454,0.055846408,-0.012730632,0.046215087,-0.046819016,-0.017224155,0.01368033,-0.02964085,-0.0890753,-0.046817254,0.10084086,-0.08137728,-0.02040211,-0.01999852,0.04848888,-0.08745359,0.068541266,0.04478097,0.01983135,-0.06951488,-0.008926313,-0.005366835,0.09179657,-0.0057565607,-0.078602165,0.013388351,0.028211998,0.0032075895,-0.044162534,-0.03609052
ICV169,-0.013074039,-0.0020827185,0.0058001755,0.05350838,0.012640934,0.06585821,-0.040673185,-0.030985331,-0.0059393737,-0.03760994,-0.09235512,-0.045206606,0.085817926,-0.08471969,-0.031235227,0.014091222,0.053514633,-0.07118399,0.07216491,0.04174215,0.010482598,-0.040963367,0.003306765,0.00905728,0.08853988,-0.0070140287,-0.0644931,0.00015368313,0.039402485,0.028916288,-0.048066918,-0.046640743
ICV331,-0.009812702,-0.002065193,0.010211112,0.055629198,0.00991671,0.06273335,-0.039378263,-0.02692959,-0.009381132,-0.0318545,-0.08982527,-0.046345204,0.08476906,-0.082320035,-0.031085808,0.005884841,0.062985934,-0.0733919,0.06995154,0.050567724,0.010409153,-0.04326465,-5.163066e-05,0.0044077067,0.08352546,-0.0061996356,-0.070563786,-0.0027914904,0.035132714,0.019855388,-0.043693908,-0.051907066
ICV345,-0.009681861,-0.0058728196,0.01022254,0.04961437,0.0049665943,0.053887293,-0.03692774,-0.024032611,-0.000187058,-0.03534536,-0.08948234,-0.04780952,0.08678264,-0.080785856,-0.026385594,0.0019933041,0.050757904,-0.07484026,0.0652353,0.04550489,0.009853043,-0.04937674,0.004538089,0.004272594,0.08680335,-0.006180275,-0.073739514,0.0040104464,0.039624006,0.02329278,-0.045160353,-0.05001629
ICV377,-0.006504368,0.0019413065,0.009100576,0.054680027,-0.0024218261,0.053918898,-0.048553262,-0.016455136,-0.0041962042,-0.034152716,-0.093814224,-0.04753381,0.09940723,-0.0827074,-0.020786077,0.0006328076,0.052874833,-0.08031477,0.07120354,0.039404865,0.0133713875,-0.05223967,-0.009356039,0.001416007,0.08786818,-0.004576031,-0.0726008,0.006645523,0.029499909,0.013054311,-0.045745265,-0.03971586
ICV23,-0.012714539,-0.0056403354,0.007339142,0.053844612,0.0038551688,0.05650431,-0.046273224,-0.018503722,0.0024528876,-0.03570854,-0.09533137,-0.041070066,0.09400597,-0.08676595,-0.027053647,-0.005544886,0.051935196,-0.07833406,0.0675314,0.043336183,0.01197768,-0.051406436,-0.0028589647,0.0019251695,0.088383675,-0.0074620172,-0.07110165,0.0014245361,0.034387,0.014346755,-0.044677142,-0.0420119
ICV362,-0.011393093,0.0003877636,0.0063521164,0.05668944,0.01178458,0.06578964,-0.0435542,-0.025727708,-0.0068417247,-0.035186667,-0.09425009,-0.04422818,0.09198551,-0.08497013,-0.023281762,0.0074917916,0.05961281,-0.074068636,0.07311512,0.046692923,0.011654373,-0.040765665,-0.0015323907,0.004435055,0.08761937,-0.0083818585,-0.07122983,-0.0049921833,0.031027997,0.01839768,-0.041399952,-0.039451998
ICV673,-0.003628049,-0.005621398,0.0069041657,0.054445423,-0.0062212534,0.049496487,-0.05476627,-0.01904742,0.0031053554,-0.025995903,-0.09187509,-0.04195722,0.1051833,-0.08319561,-0.023256848,-0.016838651,0.05111773,-0.085262015,0.069544554,0.039915472,0.020254295,-0.06126423,-0.013141846,-0.0025381045,0.09401599,-0.010669518,-0.08352862,-0.003633827,0.030816665,-0.00012840424,-0.041790593,-0.03449072
ICV712,-0.0023515308,0.00065216795,0.010417236,0.05388169,0.0011543855,0.056019403,-0.05408279,-0.016702356,-0.0047392603,-0.02963657,-0.09025618,-0.04796426,0.099191576,-0.08464042,-0.020017523,-0.004956346,0.060045965,-0.08038495,0.071304195,0.040177915,0.014036982,-0.053639576,-0.011070333,-0.0012080567,0.08764669,-0.0039607696,-0.07341249,0.003550563,0.028601956,0.010213452,-0.044159092,-0.037530415
ICV395,-0.009028206,-0.00319409,0.009062642,0.05446419,-0.0071632825,0.05095456,-0.06144993,-0.020090777,0.0016756747,-0.03077809,-0.09196394,-0.050015673,0.102653675,-0.07920804,-0.018860634,-0.010297157,0.053166866,-0.08628873,0.0733074,0.03777566,0.014472692,-0.055895723,-0.00344022,0.001413174,0.102607675,-0.0040122457,-0.07359692,0.014246985,0.032990307,0.011099557,-0.0416602,-0.040112488
ICV106,-0.011743252,-0.005053954,0.008890038,0.057127565,0.008613577,0.06026811,-0.04162687,-0.02946713,-0.002214864,-0.033142313,-0.09018241,-0.044633742,0.09220806,-0.079940386,-0.026415091,0.0017971136,0.058618825,-0.0707787,0.07109973,0.048232436,0.011547441,-0.043372124,-0.001578657,0.008043613,0.088280536,-0.0065809265,-0.07266183,-0.0015746653,0.030721398,0.012494718,-0.037558205,-0.044194814
