epoch,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10
1,4.17368,4.32362,4.4486,4.09869,4.34862,4.64854,5.02343,5.47324,4.84847,4.67352
2,4.39864,3.87377,4.24865,4.17368,4.37361,4.62354,4.57355,4.42361,4.77349,4.64853
3,4.32365,3.92376,4.27366,4.09869,4.37361,4.54856,4.7485,4.4236,4.79848,4.74851
4,5.02339,3.89877,4.17367,4.12369,4.64855,4.57355,4.57355,5.37328,4.77349,4.59855
5,4.17368,3.92376,4.17367,4.39862,4.37361,4.64853,4.92346,4.32363,4.77349,4.67352
6,4.19868,3.94875,4.17367,4.32365,4.34861,4.57355,4.84848,4.19868,5.37332,4.64853
7,4.32365,3.82379,4.22367,4.09869,4.67354,4.57355,4.97344,4.27365,4.77349,4.67352
8,4.39863,3.94875,4.19866,4.09869,4.37361,4.57355,4.49858,4.52358,4.97344,4.67352
9,4.19868,3.92376,4.12369,4.0987,4.4236,4.64853,4.64852,4.32363,5.07341,4.64854
10,4.19867,3.72383,4.17367,4.09869,4.29863,4.57355,4.57355,4.37364,4.84847,4.54858
11,4.4736,3.94875,4.22367,4.09869,4.34861,4.54856,4.94845,4.4486,5.17339,4.67352
12,4.0987,3.99872,4.22366,4.12369,4.37361,4.54856,4.57355,4.32363,5.37332,4.59856
13,4.57354,3.7988,4.29864,4.0987,4.57355,4.57355,4.94845,4.32363,4.79848,4.67352
14,4.19868,3.89876,4.27364,4.04872,4.44858,4.59854,4.54856,4.34863,5.07341,4.62354
15,4.24866,3.74881,4.24865,4.22366,4.37361,4.64854,4.52356,4.32363,5.02342,4.69851
16,4.17368,3.92376,4.34863,4.17366,4.3986,4.79849,4.57355,4.29866,4.94844,4.64853
17,4.24867,3.84878,4.29863,4.12369,4.34864,4.7485,4.82348,4.32363,4.82348,4.49857
18,4.24866,3.7988,4.29864,4.17367,4.49857,4.64854,4.64853,4.37362,4.99843,4.72351
19,4.17368,3.87377,4.17368,4.17368,4.32364,4.52356,4.72351,4.29864,4.64852,4.57355
20,4.14868,3.84878,4.42359,4.19866,4.37361,4.77349,4.79849,4.29863,4.84847,4.54857
21,4.17368,3.74881,4.29863,4.12368,4.32364,4.54855,4.67352,4.29864,5.07341,4.69852
22,4.19867,3.82379,4.34862,4.0737,4.62354,4.47357,4.79849,4.32363,4.99843,4.49857
23,4.27365,3.7738,4.49856,4.12369,4.54856,4.62353,4.62353,4.37362,5.22337,4.62354
24,4.14868,3.87376,4.34862,4.0987,4.59853,4.7235,4.67352,4.37362,4.6985,4.54855
25,4.22367,3.7738,4.24866,4.19866,4.52356,4.69852,4.72351,4.29864,5.04841,4.62354
26,4.44859,3.64885,4.02373,4.14868,4.42359,4.44858,4.54857,4.32363,4.89845,4.47357
27,4.34862,3.87376,4.34861,4.0737,4.19869,4.7485,4.67353,4.3986,4.79848,4.49857
